STUDY_ID	SAMPLE_ID	MYC	BASP1
all_phase2_target_2018_pub	TARGET-10-PARBRK-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARBRK-04	25.4609	0.1133
all_phase2_target_2018_pub	TARGET-10-PARBRK-09	50.6765	2.7448
all_phase2_target_2018_pub	TARGET-10-PARBVI-04	63.5383	0.655
all_phase2_target_2018_pub	TARGET-10-PARBVI-09	12.1704	0.5907
all_phase2_target_2018_pub	TARGET-10-PARCBK-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARCBK-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARCHB-03	36.8187	4.7536
all_phase2_target_2018_pub	TARGET-10-PARCHB-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARDLR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARDNF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARDWE-03	21.7707	0.6582
all_phase2_target_2018_pub	TARGET-10-PARDWE-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARDWE-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARFLV-04	6.8309	0.5254
all_phase2_target_2018_pub	TARGET-10-PARFLV-09	33.8951	1.4252
all_phase2_target_2018_pub	TARGET-10-PARFTR-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARFTR-04	43.0153	37.8831
all_phase2_target_2018_pub	TARGET-10-PARFTR-09	15.1531	6.5945
all_phase2_target_2018_pub	TARGET-10-PARFVZ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARFVZ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGFV-03	11.9022	0.3437
all_phase2_target_2018_pub	TARGET-10-PARGFV-04	37.7321	3.1654
all_phase2_target_2018_pub	TARGET-10-PARGFV-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGHW-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGHW-04	23.0732	0.2895
all_phase2_target_2018_pub	TARGET-10-PARGHW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGML-03	55.4441	49.1215
all_phase2_target_2018_pub	TARGET-10-PARGML-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGML-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGVZ-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARGVZ-04	17.8496	0.8131
all_phase2_target_2018_pub	TARGET-10-PARGVZ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARHUM-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARIAD-03	49.3165	19.8125
all_phase2_target_2018_pub	TARGET-10-PARIAD-04	39.0571	80.2857
all_phase2_target_2018_pub	TARGET-10-PARIAD-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARJSR-04	153.6792	1.0158
all_phase2_target_2018_pub	TARGET-10-PARJSR-09	90.1445	1.0861
all_phase2_target_2018_pub	TARGET-10-PARJZZ-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARJZZ-04	36.599	4.3026
all_phase2_target_2018_pub	TARGET-10-PARJZZ-09	34.2012	2.1667
all_phase2_target_2018_pub	TARGET-10-PARKNJ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARLAF-04	124.2471	10.4375
all_phase2_target_2018_pub	TARGET-10-PARLAF-09	47.9083	143.2173
all_phase2_target_2018_pub	TARGET-10-PARLEK-03	285.5359	9.8999
all_phase2_target_2018_pub	TARGET-10-PARLEK-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARLZG-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARLZG-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARLZG-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARMSP-04	30.0361	9.1616
all_phase2_target_2018_pub	TARGET-10-PARMSP-09	49.7985	1.559
all_phase2_target_2018_pub	TARGET-10-PARMXF-03	29.856	11.945
all_phase2_target_2018_pub	TARGET-10-PARMXF-04	6.5064	10.8514
all_phase2_target_2018_pub	TARGET-10-PARMXF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARMXF-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNDR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNMF-03	11.0272	19.0342
all_phase2_target_2018_pub	TARGET-10-PARNMF-04	16.3156	80.135
all_phase2_target_2018_pub	TARGET-10-PARNMF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNMF-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNSH-03	23.0935	0.2723
all_phase2_target_2018_pub	TARGET-10-PARNSH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNSH-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARNTW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPCA-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPNM-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPNM-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPNM-09	58.365	2.3897
all_phase2_target_2018_pub	TARGET-10-PARPRD-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPRW-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPRW-04	27.4343	0.4322
all_phase2_target_2018_pub	TARGET-10-PARPRW-09	35.2827	0.7948
all_phase2_target_2018_pub	TARGET-10-PARPVU-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPVU-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPYS-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPZJ-03	21.6001	2.5659
all_phase2_target_2018_pub	TARGET-10-PARPZJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARPZJ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARRKW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARRKW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARSGC-03	21.9703	9.3061
all_phase2_target_2018_pub	TARGET-10-PARSRH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARSZH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARSZH-09	22.7475	0.8258
all_phase2_target_2018_pub	TARGET-10-PARTJL-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTJL-09	23.1122	19.9281
all_phase2_target_2018_pub	TARGET-10-PARTKL-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTKL-09	38.1568	0.819
all_phase2_target_2018_pub	TARGET-10-PARTRW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTRW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTXF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTYT-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTYT-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARTYT-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARUBK-03	112.5977	19.1325
all_phase2_target_2018_pub	TARGET-10-PARUBK-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARUGP-09	95.5607	7.5685
all_phase2_target_2018_pub	TARGET-10-PARUIW-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARVHA-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARVWD-09	19.832	0.1893
all_phase2_target_2018_pub	TARGET-10-PARWVN-03	22.9175	14.097
all_phase2_target_2018_pub	TARGET-10-PARWVN-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARWVN-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PARXMC-04	17.7508	0.9311
all_phase2_target_2018_pub	TARGET-10-PARXMC-09	28.6809	0.598
all_phase2_target_2018_pub	TARGET-10-PASCIU-03	9.4648	6.4644
all_phase2_target_2018_pub	TARGET-10-PASDYK-03	14.4375	5.9246
all_phase2_target_2018_pub	TARGET-10-PASDYK-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASEVJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASEVJ-09	8.6727	0.6053
all_phase2_target_2018_pub	TARGET-10-PASEVJ-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASFPU-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASFXA-03	7.3883	10.5284
all_phase2_target_2018_pub	TARGET-10-PASFXA-04	49.3303	3.0304
all_phase2_target_2018_pub	TARGET-10-PASFXA-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASHUI-04	4.9327	0.7207
all_phase2_target_2018_pub	TARGET-10-PASHUI-09	27.9794	1.7864
all_phase2_target_2018_pub	TARGET-10-PASKAY-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASKAY-04	26.4407	9.4677
all_phase2_target_2018_pub	TARGET-10-PASKAY-09	35.9704	32.1509
all_phase2_target_2018_pub	TARGET-10-PASKHT-03	28.8751	16.298
all_phase2_target_2018_pub	TARGET-10-PASKHT-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASLZM-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASLZM-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASLZM-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASLZM-40	24.3967	29.4381
all_phase2_target_2018_pub	TARGET-10-PASMVF-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASMVF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASRXC-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASSUP-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASSXJ-03	26.4162	3.857
all_phase2_target_2018_pub	TARGET-10-PASSXJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASSXJ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASUBW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASUBW-09	78.5547	11.4565
all_phase2_target_2018_pub	TARGET-10-PASVUW-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASVUW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASYGM-03	30.5195	12.7263
all_phase2_target_2018_pub	TARGET-10-PASYRH-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PASYRH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATCTI-04	29.7739	4.8354
all_phase2_target_2018_pub	TARGET-10-PATCTI-09	50.7245	12.6904
all_phase2_target_2018_pub	TARGET-10-PATEEN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATISC-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATISC-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATSAH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATSAH-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PATTEE-03	5.5446	31.3173
all_phase2_target_2018_pub	TARGET-10-CAAABC-60.10	NA	NA
all_phase2_target_2018_pub	TARGET-10-CAAABC-60.12	NA	NA
